ACAOAFIRMATIVA;ENEMLINGUAGEM;ENEMHUMANAS;ENEMNATURAIS;ENEMMATEMATICA;ENEMREDACAO;CURSO;CODTURNOINGRESSO;CODTURNOATUAL;TURNOATUAL;CR;ANOINGRESSO;SEMESTREINGRESSO;ANODESVINCULACAO;SEMESTREDESVINCULACAO;IDADE;COR;BAIRRO;CEP;CIDADE;MOBILIDADE;ESTADOCIVIL;TRANCAMENTOS;TEMPOPERMANENCIA;SEXO;STATUSFORMACAO
AC;605.8;743.4;706.6;840.1;960.0;41;8;8;INTEGRAL;8.0;2013;1;2018;1;24;NÃO DECLARADO;JARDIM ICARAÍ;24220330;NITERÓI;0;SOLTEIRO;0;6;M;FORMADO
AC;616.4;602.8;646.4;696.5;840.0;243;8;8;INTEGRAL;7.3;2014;1;2018;1;22;NÃO DECLARADO;VILA JACI;12211370;SÃO JOSÉ DOS CAMPOS;0;SOLTEIRO;0;5;M;FORMADO
AC;636.2;654.1;617.2;760.0;720.0;244;8;8;INTEGRAL;8.8;2013;1;2017;2;24;BRANCA;BELA VISTA;28623;NOVA FRIBURGO;0;SOLTEIRO;0;5;F;FORMADO
A1;559.1;568.1;522.0;587.7;700.0;3;4;4;NOTURNO;7.2;2013;2;2018;1;24;NÃO DECLARADO;CAXITO;21545160;RIO DE JANEIRO;0;SOLTEIRO;0;6;F;FORMADO
AC;545.4;560.9;508.2;528.0;600.0;62;8;8;INTEGRAL;7.06;2014;2;2015;1;24;NÃO DECLARADO;BARRO VERMELHO;24412330;SÃO GONÇALO;0;SOLTEIRO;0;2;F;EVADIDO
AC;662.7;632.7;618.4;680.9;680.0;62;8;8;INTEGRAL;2.2;2014;2;2018;2;22;NÃO DECLARADO;JARDIM ATLÂNTICO;74343500;GOIÂNIA;0;SOLTEIRO;0;5;F;EVADIDO
AC;530.5;564.2;465.2;442.4;680.0;62;8;8;INTEGRAL;5.5;2014;2;2018;2;22;NÃO DECLARADO;VILA CORTÊS;24890000;TANGUÁ;0;SOLTEIRO;0;5;F;EVADIDO
AC;637.8;618.8;603.2;704.7;760.0;263;4;4;NOTURNO;7.7;2013;2;2017;2;25;NÃO DECLARADO;TIJUCA;20511400;RIO DE JANEIRO;0;SOLTEIRO;0;5;F;FORMADO
AC;674.1;680.5;719.1;820.0;760.0;16;8;8;INTEGRAL;8.6;2012;2;2018;1;29;NÃO DECLARADO;TIJUCA;20520053;RIO DE JANEIRO;0;SOLTEIRO;1;7;F;FORMADO
AC;608.6;728.0;673.5;765.9;900.0;41;8;8;INTEGRAL;6.8;2013;1;2017;1;28;NÃO DECLARADO;SÃO MIGUEL;24445686;SÃO GONÇALO;0;SOLTEIRO;0;5;F;FORMADO
