SocProgram;ExamLang;ExamHuman;ExamScience;ExamMath;ExamWrite;Course;IdShift;IdShiftCurr;CourseShift;GPA;ApplicYear;ApplicSemester;ClosureYear;ClosureSemester;Age;Ethnicity;District;City;CultExchange;MaritalStatus;Withdraws;YearsEnrolled;Gender;FinalStatus
AC;605.8;743.4;706.6;840.1;960.0;41;8;8;Full;8.0;2013;1;2018;1;24;Undeclared;JARDIM ICARAÍ;NITERÓI;0;Single;0;6;M;Graduated
AC;616.4;602.8;646.4;696.5;840.0;243;8;8;Full;7.3;2014;1;2018;1;22;Undeclared;VILA JACI;SÃO JOSÉ DOS CAMPOS;0;Single;0;5;M;Graduated
AC;636.2;654.1;617.2;760.0;720.0;244;8;8;Full;8.8;2013;1;2017;2;24;White;BELA VISTA;NOVA FRIBURGO;0;Single;0;5;F;Graduated
A1;559.1;568.1;522.0;587.7;700.0;3;4;4;Night;7.2;2013;2;2018;1;24;Undeclared;CAXITO;RIO DE JANEIRO;0;Single;0;6;F;Graduated
AC;545.4;560.9;508.2;528.0;600.0;62;8;8;Full;7.06;2014;2;2015;1;24;Undeclared;BARRO VERMELHO;SÃO GONÇALO;0;Single;0;2;F;Dropped
AC;662.7;632.7;618.4;680.9;680.0;62;8;8;Full;2.2;2014;2;2018;2;22;Undeclared;JARDIM ATLÂNTICO;GOIÂNIA;0;Single;0;5;F;Dropped
AC;530.5;564.2;465.2;442.4;680.0;62;8;8;Full;5.5;2014;2;2018;2;22;Undeclared;VILA CORTÊS;TANGUÁ;0;Single;0;5;F;Dropped
AC;637.8;618.8;603.2;704.7;760.0;263;4;4;Night;7.7;2013;2;2017;2;25;Undeclared;TIJUCA;RIO DE JANEIRO;0;Single;0;5;F;Graduated
AC;674.1;680.5;719.1;820.0;760.0;16;8;8;Full;8.6;2012;2;2018;1;29;Undeclared;TIJUCA;RIO DE JANEIRO;0;Single;1;7;F;Graduated
AC;608.6;728.0;673.5;765.9;900.0;41;8;8;Full;6.8;2013;1;2017;1;28;Undeclared;SÃO MIGUEL;SÃO GONÇALO;0;Single;0;5;F;Graduated
AC;577.5;558.6;362.2;472.0;520.0;62;8;8;Full;7.41;2014;2;2015;2;27;Undeclared;MUTONDO;SÃO GONÇALO;0;Single;0;2;F;Dropped
AC;586.6;641.9;575.8;708.5;820.0;263;4;4;Night;3.4;2013;1;2017;2;25;Undeclared;CENTRO;NITERÓI;0;Single;0;5;M;Dropped
AC;666.0;597.2;546.9;777.1;840.0;40;8;8;Full;6.8;2012;1;2017;2;25;Undeclared;SURUÍ;MAGÉ;0;Single;0;6;M;Graduated
